 3.1        Tebo-ICT,  license #willjames
R0911        -1.5306    0.0125   90.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1320        -0.6970    2.1525  180.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1321        -0.6970    2.1145  180.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1327        -0.6246    2.1520  180.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1401        -3.0471    2.2670  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1402        -1.8771    2.2720   90.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1403        -2.4520    2.2720   90.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1404        -2.4520    2.2720  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1405        -3.0471    2.1870  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1501        -0.7150    2.4310    0.0  B1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1502        -1.2971    2.3470   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1503        -1.2971    2.3470  270.0  B1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1504        -1.8771    2.2720  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1602        -1.7671    1.9320   90.0  B2   (B)  'NBS_R0603_H22_000S', 'NBS_R0603_H22_000S'
R1603        -1.6921    1.9320   90.0  B2   (B)  'NBS_R0603_H22_000S', 'NBS_R0603_H22_000S'
R1604        -3.4246    0.9665  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1605        -1.5716    1.9325  270.0  B2   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R1606        -3.4295    1.0595    0.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1609        -3.4295    1.0965  180.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1610        -3.4836    1.0435   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1802        -3.1696    1.4145   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1803        -3.1075    1.3065   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1804        -3.1906    1.2985  270.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1805        -3.1896    1.3535    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1806        -3.2296    0.9365   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1807        -3.3186    0.9435  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1809        -3.3396    1.0095    0.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1810        -3.3586    0.9435   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R1811        -3.4695    1.8145   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1812        -3.4596    1.8965  270.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1813        -3.4996    1.8965   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R1814        -3.5496    1.8145  270.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
