 3.1        Tebo-ICT,  license #willjames
J3902        -0.3739    3.8469  270.0  B1   (T)  'NBS_WTOB_4P_002C_B', 'NBS_WTOB_4P_002C_B'
J4601        -3.7331    2.3979  270.0  A1   (T)  'NBS_WTOB_40P_001C', 'NBS_WTOB_40P_001C'
J4701        -3.0638    3.9532  180.0  A1   (T)  'NBS_D_SUB_15P_022', 'NBS_D_SUB_15P_022'
J4901        -2.1799    3.9512    0.0  B1   (T)  'NBS_HDMI_19P_054', 'NBS_HDMI_19P_054'
J5001        -2.0196   -2.2476  270.0  B3   (T)  'NBS_WTOB_4P_002C_B', 'NBS_WTOB_4P_002C_B'
J5102        -1.1346   -4.0200  180.0  B4   (T)  'NBS_U_SATA_13P_000', 'NBS_U_SATA_13P_000'
J5201        -1.3708    3.8105    0.0  B1   (T)  'NBS_U_USB_9P_005', 'NBS_U_USB_9P_005'
J5301        -0.9663   -3.1610  270.0  B4   (T)  'NBS_MINI_PCI_52P_026', 'NBS_MINI_PCI_52P_026'
J5502        -0.7330    4.0134    0.0  B1   (T)  'NBS_U_AUDIO_JACK_6P_008', 'NBS_U_AUDIO_JACK_6P_008'
J5602        -5.0126    1.9650   90.0  A2   (B)  'NBS_SOT23_3P_003', 'NBS_SOT23_3P_003'
J6001        -4.8079    3.8577  180.0  A1   (T)  'NBS_U_DC_PWR_JACK_3P_001', 'NBS_U_DC_PWR_JACK_3P_001'
J6003        -0.2281   -2.4188  270.0  B4   (T)  'NBS_BATT_8P_000', 'NBS_BATT_8P_000'
J6401        -5.0795   -2.5192  270.0  A4   (T)  'NBS_BTOB_40P_012', 'NBS_BTOB_40P_012'
J6402        -3.8394   -2.6467    0.0  A4   (T)  'NBS_FPC_30P_005C_B', 'NBS_FPC_30P_005C_B'
J6403        -3.7594   -2.0123    0.0  A3   (T)  'NBS_U_SATA_22P_000C', 'NBS_U_SATA_22P_000C'
J6405        -3.8394   -2.6467  180.0  A4   (B)  'NBS_FPC_30P_005C', 'NBS_FPC_30P_005C'
J6601        -4.1287   -3.3514  180.0  A4   (B)  'NBS_FPC_30P_005C', 'NBS_FPC_30P_005C'
J6602        -4.8374   -3.6787  180.0  A4   (T)  'NBS_U_USB_4P_005', 'NBS_U_USB_4P_005'
J6603        -4.0893   -3.6787  180.0  A4   (T)  'NBS_U_USB_4P_005', 'NBS_U_USB_4P_005'
J6604        -3.0972   -3.7052    0.0  A4   (B)  'NBS_CARD_READER_9P_007', 'NBS_CARD_READER_9P_007'
J6605        -4.1287   -3.2315  180.0  A4   (T)  'NBS_FPC_30P_028', 'NBS_FPC_30P_028'
J6801        -0.2882   -3.3992  270.0  B4   (T)  'NBS_BTOB_40P_011', 'NBS_BTOB_40P_011'
JDEBUG1      -1.5046   -2.6891  180.0  B4   (B)  'NBS_FPC_12P_006C', 'NBS_FPC_12P_006C'
JP3301       -3.4895    3.5395  180.0  A1   (B)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JRST2202     -0.7420    2.8070  180.0  B1   (T)  'NB_OPEN2_5MIL_PT', 'NB_OPEN2_5MIL_PT'
LED6601      -2.0982   -2.9700   90.0  B4   (B)  'NBS_LED_3P_001', 'NBS_LED_3P_001'
LED6603      -2.0835   -3.2850   90.0  B4   (B)  'LED_2P_118X39_EVERLIGHT', 'LED_2P_118X39_EVERLIGHT'
LED6604      -2.0835   -2.6551   90.0  B4   (B)  'LED_2P_118X39_EVERLIGHT', 'LED_2P_118X39_EVERLIGHT'
LED6701      -5.1366    2.0635  180.0  A2   (B)  'NBS_LED_2P_007', 'NBS_LED_2P_007'
PC6000       -5.0195    3.5845    0.0  A1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC6001       -5.0145    3.3595    0.0  A1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC6002       -5.0145    3.4145    0.0  A1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC6003       -4.6795    3.5645    0.0  A1   (T)  'NBS_C0805_H55_000S_B', 'NBS_C0805_H55_000S_B'
PC8002       -1.4695   -1.1045    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8003       -1.5745   -0.9605  270.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8004       -1.4046   -1.0405  270.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8005       -1.4446   -1.0405  270.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8006       -1.7846   -0.9105   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8009       -1.4695   -1.1415  180.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8010       -1.5296   -1.1605  270.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8011       -1.6296   -1.1905  270.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8012       -1.7146   -1.1405   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8013       -1.7946   -1.1305    0.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8018       -2.1875    0.2795  180.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8020       -2.4596    0.5135    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8021       -2.4596    0.4435    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8022       -2.2296    0.3895  270.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8023       -2.3615    0.3895  270.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8024       -2.4596    0.6535    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8025       -1.5496   -0.8555   90.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8026       -2.4596    0.5835    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8027       -1.7435    0.3455    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8032       -1.3096   -1.2605  270.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8033       -1.1196   -0.8605  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8034       -1.3146   -0.5695  270.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8035       -1.8196   -0.8905  270.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8038       -2.4596    0.3735    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8047       -1.5745   -1.0305  270.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8048       -1.5546   -0.9035  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8050       -1.3845   -0.5605  270.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8051       -2.4596    0.7235    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8052       -2.3516    0.2795    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8053       -2.2956    0.3895  270.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8054       -2.5046    0.2795    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8056       -1.7435    0.2795    0.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8057       -2.1595    0.3895  270.0  B2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8085       -1.6646   -0.8305   90.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8090       -1.8096   -0.4605    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8091       -1.5785   -0.4605    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8100       -1.5546   -1.8305   90.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8101       -1.5546   -1.4605  270.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8103       -1.6406   -1.9305  180.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8104       -1.6716   -1.8435    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8105       -1.6116   -1.9035  270.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8106       -1.7996   -2.0055    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8107       -1.8076   -1.7775  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8108       -1.6596   -1.7695    0.0  B3   (T)  'C0402', 'C0402'
PC8109       -1.6036   -1.8655   90.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8110       -1.0496   -1.7455   90.0  B3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8111       -0.9175   -1.7455   90.0  B3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8112       -0.9836   -1.7455   90.0  B3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8113       -0.8746   -1.4305    0.0  B3   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8114       -1.5765   -1.5925  270.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8115       -1.5346   -1.5965  270.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8116       -1.5506   -2.0685    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8117       -1.5286   -1.9995  270.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8118       -1.6596   -1.7185    0.0  B3   (T)  'C0402', 'C0402'
PC8119       -1.9276   -1.7985  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8120       -1.9276   -1.7605  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8121       -1.9176   -1.8525  270.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8122       -2.3085   -1.5705  180.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8123       -2.4375   -1.6505   90.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8124       -1.9595   -1.8685  270.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8130       -1.6596   -1.8455    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8190       -1.2175   -2.1815  270.0  B3   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8191       -1.1586   -2.1845   90.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8200       -0.8320   -0.9965   90.0  B3   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8201       -0.9446   -1.1255   90.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8202       -1.0196   -0.8905    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8203       -1.0536   -1.1825    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8204       -0.8825   -0.4595    0.0  B3   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8205       -0.8845   -0.3905    0.0  B3   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8300       -4.9656    1.5285  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8301       -5.0346    1.4345   90.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8303       -4.7416    2.2165  180.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8306       -5.1395    1.7595  180.0  A2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8307       -5.1395    1.8295  180.0  A2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8308       -5.0995    1.6795    0.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8309       -4.9395    1.8595   90.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8310       -5.0396    1.8645  270.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8311       -4.5976    2.1615  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8313       -4.8346    1.6845  180.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8314       -5.0496    1.6045   90.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8315       -5.1296    1.6045   90.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8317       -4.4715    1.6095  270.0  A2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8318       -4.2706    1.6145  270.0  A2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8319       -4.3365    1.6145  270.0  A2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8320       -4.4036    1.6145  270.0  A2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8321       -4.9215    2.2945  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8322       -4.4745    2.0795  270.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8404       -2.0345   -1.7885   90.0  B3   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8408       -2.2296   -1.7515   90.0  B3   (T)  'C0603', 'C0603'
PC8410       -2.0505   -1.8915    0.0  B3   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8411       -4.5046    3.2015  180.0  A1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8412       -4.5846    2.9595  270.0  A1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8413       -4.7796    3.1195    0.0  A1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8414       -4.6795    2.9845  180.0  A1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8480       -2.1795   -1.6675    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8490       -2.1696   -1.8925    0.0  B3   (T)  'C0402', 'C0402'
PC8501       -2.5806   -1.0905   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8502       -2.0795   -1.0305   90.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8503       -2.5345   -0.7635    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8504       -2.3876   -0.7365    0.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8505       -2.1296   -1.1725   90.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8506       -2.1195   -0.9905   90.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8507       -2.7445   -1.3455   90.0  A3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8508       -1.7766   -1.1195   90.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8509       -3.2645   -0.3755  270.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8510       -4.1426   -0.3575   90.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8511       -4.2286   -0.3625   90.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8512       -2.5496   -1.3555    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8513       -2.3146   -1.3605    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8514       -2.5345   -0.7255    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8515       -2.2096   -0.4655    0.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8516       -1.9196   -1.0205   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8517       -1.9166   -1.0955  270.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8518       -1.9595   -0.9305   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8519       -1.9955   -0.9305   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8521       -2.3485   -0.3655  270.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8522       -4.2976   -0.0695  270.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8523       -3.3346   -0.3755  270.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8524       -4.2496   -0.2325  180.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8525       -3.1946   -0.3755  270.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8526       -2.5596   -0.1805  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8527       -2.7896   -0.1805  180.0  A3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8528       -1.9196   -0.9305   90.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8531       -1.9775   -1.3235  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8532       -4.4786   -0.8305    0.0  A3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8533       -4.1226   -0.2325    0.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8537       -2.8645   -1.3105   90.0  A3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8801       -0.6216   -1.6305   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8802       -0.4895   -1.6955  180.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8803       -0.5415   -1.8825  180.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8804       -0.7196   -1.9505   90.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8805       -4.7736    3.3315    0.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8806       -0.8095   -2.5055    0.0  B4   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8807       -0.5435   -2.6245    0.0  B4   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8808       -0.7945   -1.8505    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8809       -0.4185   -1.6855   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8810       -0.7945   -1.8105    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8811       -0.7396   -1.8305  270.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8812       -4.7626    3.2885    0.0  A1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8813       -0.4255   -1.7595   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8814       -0.4386   -1.8665  270.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8815       -0.7396   -1.5935   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8816       -0.8146   -2.3605    0.0  B4   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC8817       -0.8045   -2.4055    0.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8818       -0.9736   -2.5035  270.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8820       -0.6485   -1.9465  270.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8821       -0.5435   -2.5805    0.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8822       -0.5996   -2.1955    0.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC8825       -0.6745   -1.6555    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC8848       -0.5285   -2.7495  180.0  B4   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8849       -0.5285   -2.6815  180.0  B4   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
PC8850       -0.3846   -2.7825    0.0  B4   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC8858       -0.5155   -2.3865  180.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8861       -0.8045   -2.4445    0.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC8866       -0.5435   -2.5445  180.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9001       -0.5766   -3.3495    0.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9002       -0.4466   -2.8495  180.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9003       -0.5285   -2.8495    0.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9004       -0.4506   -3.0285  270.0  B4   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
PC9007       -0.5285   -3.2635  270.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9008       -0.5966   -2.9255   90.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9009       -0.6006   -3.0425   90.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9100       -1.1096   -0.3205  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9105       -0.7845   -1.3655   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9106       -0.9636   -2.5015   90.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9107       -0.9005   -2.4105  180.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9108       -0.5445   -0.1055  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9109       -0.5746   -0.1755  270.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9112       -0.5646   -0.3765   90.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9113       -0.5255   -0.3835   90.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9114       -0.7096   -0.7705    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9115       -0.6996   -1.4705   90.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9116       -0.7995   -1.5605    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9117       -0.3456   -1.3445    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9118       -1.1005   -0.3405  270.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9119       -1.3096   -0.3105    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9120       -1.0745   -2.4285  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9122       -0.8095   -0.5995    0.0  B3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
PC9123       -1.2395   -0.3105    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PC9124       -0.6896   -1.4155  180.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
PC9127       -2.0696   -1.6515    0.0  B3   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
PC9128       -1.0816   -2.3315  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
PCE8001      -1.8026   -0.3015    0.0  B3   (T)  'NBS_CPLSMD_2P_001', 'NBS_CPLSMD_2P_001'
PCE8002      -1.2926   -0.9905  180.0  B3   (T)  'NBS_CPLSMD_2P_006', 'NBS_CPLSMD_2P_006'
PCE8003      -2.1446   -0.2805  180.0  B3   (T)  'NBS_CPLSMD_2P_001', 'NBS_CPLSMD_2P_001'
PCE8101      -0.9345   -1.9105   90.0  B3   (T)  'NBS_CPLSMD_2P_001', 'NBS_CPLSMD_2P_001'
PCE8102      -0.9095   -1.6055    0.0  B3   (T)  'NBS_CPLSMD_2P_001', 'NBS_CPLSMD_2P_001'
PCE8103      -1.2696   -2.4105    0.0  B4   (T)  'NBS_CESMD_2P_007', 'NBS_CESMD_2P_007'
PCE8301      -5.0766    2.0545  180.0  A2   (T)  'NBS_CESMD_2P_007', 'NBS_CESMD_2P_007'
PCE8303      -4.0035    1.6645    0.0  A2   (T)  'NBS_CPLSMD_2P_001', 'NBS_CPLSMD_2P_001'
PCE8502      -3.2216   -0.3335   90.0  A3   (T)  'NBS_CPLSMD_2P_001', 'NBS_CPLSMD_2P_001'
PCE8503      -3.5025   -0.3345   90.0  A3   (T)  'NBS_CPLSMD_2P_001', 'NBS_CPLSMD_2P_001'
PCE8504      -3.4146   -0.5955  180.0  A3   (T)  'NBS_C7343D_H83_000S', 'NBS_C7343D_H83_000S'
